jday,high,low,"Thu,mx","Thu,min",HU,sumHU,frPHU
78,-1.2,-4.3,-1.2,10,0,0,0
79,2,-1.8,2,10,0,0,0
80,4.1,-2,4.1,10,0,0,0
81,0.2,-1.4,0.2,10,0,0,0
82,0.6,-0.1,0.6,10,0,0,0
83,3.4,0,3.4,10,0,0,0
84,5.6,0.4,5.6,10,0,0,0
85,5.5,0.9,5.5,10,0,0,0
86,2.4,-0.3,2.4,10,0,0,0
87,11,-1.7,11,10,0.5,0,0
88,15.8,-0.2,15.8,10,2.9,0,0
89,16.3,-0.5,16.3,10,3.15,0,0
90,7.4,-2.9,7.4,10,0,0,0
91,-1.5,-5.5,-1.5,10,0,0,0
92,0.8,-11.4,0.8,10,0,0,0
93,4.1,-8.7,4.1,10,0,0,0
94,5,-6,5,10,0,0,0
95,4.7,-4,4.7,10,0,0,0
96,8.1,0,8.1,10,0,0,0
97,11.8,2.2,11.8,10,0.9,0,0
98,13.3,7.4,13.3,10,1.65,0,0
99,11.4,2.7,11.4,10,0.7,0,0
100,14,-0.8,14,10,2,0,0
101,4.5,0.4,4.5,10,0,0,0
102,9.3,-1.4,9.3,10,0,0,0
103,10.4,-3.1,10.4,10,0.2,0,0
104,3.7,1.5,3.7,10,0,0,0
105,2.2,0.1,2.2,10,0,0,0
106,0.9,-1.6,0.9,10,0,0,0
107,14.5,-3,14.5,10,2.25,0,0
108,14.4,2.5,14.4,10,2.2,0,0
109,9.7,1.2,9.7,10,0,0,0
110,8.1,-2.5,8.1,10,0,0,0
111,12.4,-3.6,12.4,10,1.2,0,0
112,16,0.5,16,10,3,0,0
113,17.9,0.9,17.9,10,3.95,0,0
114,20,8.8,20,10,5,0,0
115,19.2,2.7,19.2,10,4.6,0,0
116,11,-1,11,10,0.5,0,0
117,15.9,-0.2,15.9,10,2.95,0,0
118,21.6,9.9,21.6,10,5.8,0,0
119,20.7,7.9,20.7,10,5.35,0,0
120,18.7,4.4,18.7,10,4.35,0,0
121,17.5,7.4,17.5,10,3.75,3.75,0.003125
122,19.9,10.7,19.9,10.7,5.3,9.05,0.007542
123,18.2,13.7,18.2,13.7,5.95,15,0.0125
124,19.9,13.5,19.9,13.5,6.7,21.7,0.018083
125,22.4,12.6,22.4,12.6,7.5,29.2,0.024333
126,25.7,8.5,25.7,10,7.85,37.05,0.030875
127,21.2,14.4,21.2,14.4,7.8,44.85,0.037375
128,27.5,14.4,27.5,14.4,10.95,55.8,0.0465
129,28.1,14.7,28.1,14.7,11.4,67.2,0.056
130,28.6,14.6,28.6,14.6,11.6,78.8,0.065667
131,24.1,14.2,24.1,14.2,9.15,87.95,0.073292
132,24.8,5.2,24.8,10,7.4,95.35,0.079458
133,18.8,0.8,18.8,10,4.4,99.75,0.083125
134,23.6,8.2,23.6,10,6.8,106.55,0.088792
135,18.1,3.4,18.1,10,4.05,110.6,0.092167
136,18.5,1.9,18.5,10,4.25,114.85,0.095708
137,14.4,1,14.4,10,2.2,117.05,0.097542
138,15.1,4.5,15.1,10,2.55,119.6,0.099667
139,14.5,1,14.5,10,2.25,121.85,0.101542
140,15.1,5.4,15.1,10,2.55,124.4,0.103667
141,18.7,5.2,18.7,10,4.35,128.75,0.107292
142,22.8,5,22.8,10,6.4,135.15,0.112625
143,18.3,13.5,18.3,13.5,5.9,141.05,0.117542
144,14.8,9.3,14.8,10,2.4,143.45,0.119542
145,18,7.3,18,10,4,147.45,0.122875
146,24.4,5.7,24.4,10,7.2,154.65,0.128875
147,23,10.7,23,10.7,6.85,161.5,0.134583
148,19.4,6.1,19.4,10,4.7,166.2,0.1385
149,17.6,4.1,17.6,10,3.8,170,0.141667
150,14.4,8.1,14.4,10,2.2,172.2,0.1435
151,17.5,5,17.5,10,3.75,175.95,0.146625
152,16.7,3.1,16.7,10,3.35,179.3,0.149417
153,11.9,8.5,11.9,10,0.95,180.25,0.150208
154,18.6,9.4,18.6,10,4.3,184.55,0.153792
155,14.8,5.4,14.8,10,2.4,186.95,0.155792
156,22.7,4,22.7,10,6.35,193.3,0.161083
157,22.4,7.6,22.4,10,6.2,199.5,0.16625
158,16.7,14.2,16.7,14.2,5.45,204.95,0.170792
159,25.4,14.3,25.4,14.3,9.85,214.8,0.179
160,22.2,15.2,22.2,15.2,8.7,223.5,0.18625
161,26.1,14.1,26.1,14.1,10.1,233.6,0.194667
162,26.7,12.6,26.7,12.6,9.65,243.25,0.202708
163,26.5,12.6,26.5,12.6,9.55,252.8,0.210667
164,26.9,13.4,26.9,13.4,10.15,262.95,0.219125
165,24.3,12.5,24.3,12.5,8.4,271.35,0.226125
166,19.4,10,19.4,10,4.7,276.05,0.230042
167,21,9.5,21,10,5.5,281.55,0.234625
168,28.6,16.6,28.6,16.6,12.6,294.15,0.245125
169,20.1,15,20.1,15,7.55,301.7,0.251417
170,26.1,14.6,26.1,14.6,10.35,312.05,0.260042
171,19.8,15.6,19.8,15.6,7.7,319.75,0.266458
172,28.3,15.6,28.3,15.6,11.95,331.7,0.276417
173,29.5,14.9,29.5,14.9,12.2,343.9,0.286583
174,29.8,13.3,29.8,13.3,11.55,355.45,0.296208
175,29.2,20,29.2,20,14.6,370.05,0.308375
176,25.2,13.7,25.2,13.7,9.45,379.5,0.31625
177,27.9,12.5,27.9,12.5,10.2,389.7,0.32475
178,24.9,13.5,24.9,13.5,9.2,398.9,0.332417
179,22.8,11.9,22.8,11.9,7.35,406.25,0.338542
180,23.1,10,23.1,10,6.55,412.8,0.344
181,18.8,11.7,18.8,11.7,5.25,418.05,0.348375
182,22.9,14.6,22.9,14.6,8.75,426.8,0.355667
183,30.2,17.4,30,17.4,13.7,440.5,0.367083
184,29.9,15.6,29.9,15.6,12.75,453.25,0.377708
185,25.7,20,25.7,20,12.85,466.1,0.388417
186,25.8,18.4,25.8,18.4,12.1,478.2,0.3985
187,27.1,15.7,27.1,15.7,11.4,489.6,0.408
188,26.1,15.9,26.1,15.9,11,500.6,0.417167
189,24.3,17.5,24.3,17.5,10.9,511.5,0.42625
190,26.9,17.2,26.9,17.2,12.05,523.55,0.436292
191,28.2,14.9,28.2,14.9,11.55,535.1,0.445917
192,25.6,15.3,25.6,15.3,10.45,545.55,0.454625
193,23,12.4,23,12.4,7.7,553.25,0.461042
194,21.5,12.9,21.5,12.9,7.2,560.45,0.467042
195,26.2,13.9,26.2,13.9,10.05,570.5,0.475417
196,25.4,12.7,25.4,12.7,9.05,579.55,0.482958
197,26.5,10.7,26.5,10.7,8.6,588.15,0.490125
198,24.4,18.2,24.4,18.2,11.3,599.45,0.499542
199,27.2,18.8,27.2,18.8,13,612.45,0.510375
200,27.8,16.3,27.8,16.3,12.05,624.5,0.520417
201,23.7,13.1,23.7,13.1,8.4,632.9,0.527417
202,24,12,24,12,8,640.9,0.534083
203,24.4,9.6,24.4,10,7.2,648.1,0.540083
204,25.2,16.1,25.2,16.1,10.65,658.75,0.548958
205,27.9,18.5,27.9,18.5,13.2,671.95,0.559958
206,29.6,19.5,29.6,19.5,14.55,686.5,0.572083
207,29.6,-53.6,29.6,10,9.8,696.3,0.58025
208,28.4,16.8,28.4,16.8,12.6,708.9,0.59075
209,24.4,18.2,24.4,18.2,11.3,720.2,0.600167
210,25,13.9,25,13.9,9.45,729.65,0.608042
211,26.2,12.2,26.2,12.2,9.2,738.85,0.615708
212,24.6,13.5,24.6,13.5,9.05,747.9,0.62325
213,27.6,15.9,27.6,15.9,11.75,759.65,0.633042
214,23.2,13.2,23.2,13.2,8.2,767.85,0.639875
215,22.8,11.3,22.8,11.3,7.05,774.9,0.64575
216,20.6,7.7,20.6,10,5.3,780.2,0.650167
217,22.1,9.5,22.1,10,6.05,786.25,0.655208
