jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
320,1.9000,0.0000,0.0000,0.0100,0.0000,0.0000
321,9.1000,0.0000,0.0000,0.0100,0.0000,0.0000
322,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
323,7.5000,0.0000,0.0000,0.0100,0.0000,0.0000
324,4.4000,0.0000,0.0000,0.0100,0.0000,0.0000
325,7.1000,0.0000,0.0000,0.0100,0.0000,0.0000
326,6.3000,0.0000,0.0000,0.0100,0.0000,0.0000
327,6.5000,0.0000,0.0000,0.0100,0.0000,0.0000
328,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000
329,0.5000,0.0000,0.0000,0.0100,0.0000,0.0000
330,2.7000,0.0000,0.0000,0.0100,0.0000,0.0000
331,4.5000,0.0000,0.0000,0.0100,0.0000,0.0000
332,6.3000,0.0000,0.0000,0.0100,0.0000,0.0000
333,3.7000,0.0000,0.0000,0.0100,0.0000,0.0000
334,2.6000,0.0000,0.0000,0.0100,0.0000,0.0000
335,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
336,7.1000,0.0000,0.0000,0.0100,0.0000,0.0000
337,2.5000,0.0000,0.0000,0.0100,0.0000,0.0000
338,1.8000,0.0000,0.0000,0.0100,0.0000,0.0000
339,1.2000,0.0000,0.0000,0.0100,0.0000,0.0000
340,3.9000,0.0000,0.0000,0.0100,0.0000,0.0000
341,3.3000,0.0000,0.0000,0.0100,0.0000,0.0000
342,5.0000,0.0000,0.0000,0.0100,0.0000,0.0000
343,4.3000,0.0000,0.0000,0.0100,0.0000,0.0000
344,2.3000,0.0000,0.0000,0.0100,0.0000,0.0000
345,7.7000,0.0000,0.0000,0.0100,0.0000,0.0000
346,5.0000,0.0000,0.0000,0.0100,0.0000,0.0000
347,3.0000,0.0000,0.0000,0.0100,0.0000,0.0000
348,2.2000,0.0000,0.0000,0.0100,0.0000,0.0000
349,6.8000,0.0000,0.0000,0.0100,0.0000,0.0000
350,1.4000,0.0000,0.0000,0.0100,0.0000,0.0000
351,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000
352,1.4000,0.0000,0.0000,0.0100,0.0000,0.0000
353,1.0000,0.0000,0.0000,0.0100,0.0000,0.0000
354,2.1000,0.0000,0.0000,0.0100,0.0000,0.0000
355,2.8000,0.0000,0.0000,0.0100,0.0000,0.0000
356,3.4000,0.0000,0.0000,0.0100,0.0000,0.0000
357,4.2000,0.0000,0.0000,0.0100,0.0000,0.0000
358,6.7000,0.0000,0.0000,0.0100,0.0000,0.0000
359,6.9000,0.0000,0.0000,0.0100,0.0000,0.0000
360,7.1000,0.0000,0.0000,0.0100,0.0000,0.0000
361,6.9000,0.0000,0.0000,0.0100,0.0000,0.0000
362,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
363,5.3000,0.0000,0.0000,0.0100,0.0000,0.0000
364,4.4000,0.0000,0.0000,0.0100,0.0000,0.0000
365,2.6000,0.0000,0.0000,0.0100,0.0000,0.0000
1,1.8000,0.0000,0.0000,0.0100,0.0000,0.0000
2,4.0000,0.0000,0.0000,0.0100,0.0000,0.0000
3,5.7000,0.0000,0.0000,0.0100,0.0000,0.0000
4,4.2000,0.0000,0.0000,0.0100,0.0000,0.0000
5,3.4000,0.0000,0.0000,0.0100,0.0000,0.0000
6,3.6000,0.0000,0.0000,0.0100,0.0000,0.0000
